"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",14.499,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",14.73,
"AUT","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",12.292,
"AUT","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",12.01,
"AUT","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",12.258,
"BEL","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",14.427,
"BEL","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",14.293,
"BEL","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",14.252,
"CAN","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",17.222,
"CAN","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",16.892,
"CAN","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",16.746,"P"
"CAN","PHARMAEXP","TOT","PC_HEALTHXP","A","2018",16.722,"P"
"CZE","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",17.457,
"CZE","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",17.431,
"CZE","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",16.984,
"DNK","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",6.771,
"DNK","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",6.606,
"DNK","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",6.329,
"FIN","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",12.148,
"FIN","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",12.6,
"FIN","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",12.303,
"FIN","PHARMAEXP","TOT","PC_HEALTHXP","A","2018",12.292,"P"
"FRA","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",13.634,
"FRA","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",13.394,
"FRA","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",13.247,
"DEU","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",14.349,
"DEU","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",14.421,
"DEU","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",14.068,
"GRC","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",26.627,
"GRC","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",26.484,
"GRC","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",27.335,
"HUN","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",29.8,
"HUN","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",29.462,
"HUN","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",27.922,
"ISL","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",12.638,
"ISL","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",11.588,
"ISL","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",10.971,
"IRL","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",13.032,
"IRL","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",12.987,
"IRL","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",12.933,
"ITA","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",17.757,
"ITA","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",17.508,
"ITA","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",17.471,
"ITA","PHARMAEXP","TOT","PC_HEALTHXP","A","2018",17.526,"P"
"JPN","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",19.735,
"JPN","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",18.569,
"KOR","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",21.614,
"KOR","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",21.359,
"KOR","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",20.877,
"KOR","PHARMAEXP","TOT","PC_HEALTHXP","A","2018",20.682,"P"
"LUX","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",11.371,
"LUX","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",11.337,
"LUX","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",11.258,
"MEX","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",27.201,
"MEX","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",22.719,"B"
"MEX","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",22.727,
"NLD","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",7.733,
"NLD","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",7.702,
"NLD","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",7.589,
"NLD","PHARMAEXP","TOT","PC_HEALTHXP","A","2018",7.482,"P"
"NOR","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",7.676,
"NOR","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",7.566,
"NOR","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",7.525,"P"
"NOR","PHARMAEXP","TOT","PC_HEALTHXP","A","2018",7.309,"P"
"POL","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",20.966,
