Countries,Indicators,,2017
,,,Value
Algeria,Current Health Expenditure (CHE) per Capita in US$,,258
Angola,Current Health Expenditure (CHE) per Capita in US$,,114
Benin,Current Health Expenditure (CHE) per Capita in US$,,31
Botswana,Current Health Expenditure (CHE) per Capita in US$,,466
Burkina Faso,Current Health Expenditure (CHE) per Capita in US$,,44
Burundi,Current Health Expenditure (CHE) per Capita in US$,,24
Cameroon,Current Health Expenditure (CHE) per Capita in US$,,68
Cabo Verde Republic of,Current Health Expenditure (CHE) per Capita in US$,,168
Central African Republic,Current Health Expenditure (CHE) per Capita in US$,,24
Chad,Current Health Expenditure (CHE) per Capita in US$,,30
Comoros,Current Health Expenditure (CHE) per Capita in US$,,59
Congo,Current Health Expenditure (CHE) per Capita in US$,,50
Côte d'Ivoire,Current Health Expenditure (CHE) per Capita in US$,,70
Democratic Republic of the Congo,Current Health Expenditure (CHE) per Capita in US$,,19
Equatorial Guinea,Current Health Expenditure (CHE) per Capita in US$,,301
Eritrea,Current Health Expenditure (CHE) per Capita in US$,,33
Eswatini,Current Health Expenditure (CHE) per Capita in US$,,225
Ethiopia,Current Health Expenditure (CHE) per Capita in US$,,25
Gabon,Current Health Expenditure (CHE) per Capita in US$,,204
Gambia,Current Health Expenditure (CHE) per Capita in US$,,23
Ghana,Current Health Expenditure (CHE) per Capita in US$,,67
Guinea-Bissau,Current Health Expenditure (CHE) per Capita in US$,,52
Kenya,Current Health Expenditure (CHE) per Capita in US$,,77
Liberia,Current Health Expenditure (CHE) per Capita in US$,,57
Madagascar,Current Health Expenditure (CHE) per Capita in US$,,25
Malawi,Current Health Expenditure (CHE) per Capita in US$,,32
Mali,Current Health Expenditure (CHE) per Capita in US$,,31
Mauritania,Current Health Expenditure (CHE) per Capita in US$,,49
Mauritius,Current Health Expenditure (CHE) per Capita in US$,,600
Mozambique,Current Health Expenditure (CHE) per Capita in US$,,21
Guinea,Current Health Expenditure (CHE) per Capita in US$,,34
Namibia,Current Health Expenditure (CHE) per Capita in US$,,447
Lesotho,Current Health Expenditure (CHE) per Capita in US$,,105
Niger,Current Health Expenditure (CHE) per Capita in US$,,29
Nigeria,Current Health Expenditure (CHE) per Capita in US$,,74
Rwanda,Current Health Expenditure (CHE) per Capita in US$,,49
Sao Tome and Principe,Current Health Expenditure (CHE) per Capita in US$,,120
Senegal,Current Health Expenditure (CHE) per Capita in US$,,55
Seychelles,Current Health Expenditure (CHE) per Capita in US$,,792
Sierra Leone,Current Health Expenditure (CHE) per Capita in US$,,66
South Africa,Current Health Expenditure (CHE) per Capita in US$,,499
South Sudan,Current Health Expenditure (CHE) per Capita in US$,,23
Togo,Current Health Expenditure (CHE) per Capita in US$,,38
Uganda,Current Health Expenditure (CHE) per Capita in US$,,39
United Republic of Tanzania,Current Health Expenditure (CHE) per Capita in US$,,34
Zambia,Current Health Expenditure (CHE) per Capita in US$,,68
Zimbabwe,Current Health Expenditure (CHE) per Capita in US$,,110
Antigua and Barbuda,Current Health Expenditure (CHE) per Capita in US$,,674
Argentina,Current Health Expenditure (CHE) per Capita in US$,,"1,325"
Bahamas,Current Health Expenditure (CHE) per Capita in US$,,"1,772"
Barbados,Current Health Expenditure (CHE) per Capita in US$,,"1,184"
Belize,Current Health Expenditure (CHE) per Capita in US$,,280
Bolivia Plurinational States of ,Current Health Expenditure (CHE) per Capita in US$,,220
Brazil,Current Health Expenditure (CHE) per Capita in US$,,929
Canada,Current Health Expenditure (CHE) per Capita in US$,,"4,755"
Chile,Current Health Expenditure (CHE) per Capita in US$,,"1,382"
Colombia,Current Health Expenditure (CHE) per Capita in US$,,459
Costa Rica,Current Health Expenditure (CHE) per Capita in US$,,869
Cuba,Current Health Expenditure (CHE) per Capita in US$,,988
Dominica,Current Health Expenditure (CHE) per Capita in US$,,440
Dominican Republic,Current Health Expenditure (CHE) per Capita in US$,,433
Ecuador,Current Health Expenditure (CHE) per Capita in US$,,518
El Salvador,Current Health Expenditure (CHE) per Capita in US$,,282
Grenada,Current Health Expenditure (CHE) per Capita in US$,,497
Guatemala,Current Health Expenditure (CHE) per Capita in US$,,260
Guyana,Current Health Expenditure (CHE) per Capita in US$,,231
Haiti,Current Health Expenditure (CHE) per Capita in US$,,62
Honduras,Current Health Expenditure (CHE) per Capita in US$,,196
Jamaica,Current Health Expenditure (CHE) per Capita in US$,,307
Mexico,Current Health Expenditure (CHE) per Capita in US$,,495
Nicaragua,Current Health Expenditure (CHE) per Capita in US$,,192
Panama,Current Health Expenditure (CHE) per Capita in US$,,"1,112"
Paraguay,Current Health Expenditure (CHE) per Capita in US$,,381
Peru,Current Health Expenditure (CHE) per Capita in US$,,333
Saint Kitts and Nevis,Current Health Expenditure (CHE) per Capita in US$,,903
Saint Lucia,Current Health Expenditure (CHE) per Capita in US$,,460
Saint Vincent and the Grenadines,Current Health Expenditure (CHE) per Capita in US$,,321
Suriname,Current Health Expenditure (CHE) per Capita in US$,,339
Trinidad and Tobago,Current Health Expenditure (CHE) per Capita in US$,,"1,124"
United States of America,Current Health Expenditure (CHE) per Capita in US$,,"10,246"
Uruguay,Current Health Expenditure (CHE) per Capita in US$,,"1,592"
Venezuela (Bolivarian Republic of),Current Health Expenditure (CHE) per Capita in US$,,94
Afghanistan,Current Health Expenditure (CHE) per Capita in US$,,67
Bahrain,Current Health Expenditure (CHE) per Capita in US$,,"1,127"
Djibouti,Current Health Expenditure (CHE) per Capita in US$,,70
Egypt,Current Health Expenditure (CHE) per Capita in US$,,106
Iran,Current Health Expenditure (CHE) per Capita in US$,,475
Iraq,Current Health Expenditure (CHE) per Capita in US$,,210
Jordan,Current Health Expenditure (CHE) per Capita in US$,,341
Kuwait,Current Health Expenditure (CHE) per Capita in US$,,"1,529"
Lebanon,Current Health Expenditure (CHE) per Capita in US$,,719
Morocco,Current Health Expenditure (CHE) per Capita in US$,,161
Oman,Current Health Expenditure (CHE) per Capita in US$,,588
Pakistan,Current Health Expenditure (CHE) per Capita in US$,,45
Qatar,Current Health Expenditure (CHE) per Capita in US$,,"1,649"
Sudan,Current Health Expenditure (CHE) per Capita in US$,,194
Tunisia,Current Health Expenditure (CHE) per Capita in US$,,251
United Arab Emirates,Current Health Expenditure (CHE) per Capita in US$,,"1,357"
Andorra,Current Health Expenditure (CHE) per Capita in US$,,"4,041"
Armenia,Current Health Expenditure (CHE) per Capita in US$,,408
Austria,Current Health Expenditure (CHE) per Capita in US$,,"4,940"
Azerbaijan,Current Health Expenditure (CHE) per Capita in US$,,276
Belarus,Current Health Expenditure (CHE) per Capita in US$,,342
Belgium,Current Health Expenditure (CHE) per Capita in US$,,"4,507"
Bosnia and Herzegovina,Current Health Expenditure (CHE) per Capita in US$,,460
Bulgaria,Current Health Expenditure (CHE) per Capita in US$,,664
Croatia,Current Health Expenditure (CHE) per Capita in US$,,902
Cyprus,Current Health Expenditure (CHE) per Capita in US$,,"1,732"
Czech Republic,Current Health Expenditure (CHE) per Capita in US$,,"1,476"
Denmark,Current Health Expenditure (CHE) per Capita in US$,,"5,800"
Estonia,Current Health Expenditure (CHE) per Capita in US$,,"1,300"
Finland,Current Health Expenditure (CHE) per Capita in US$,,"4,206"
France,Current Health Expenditure (CHE) per Capita in US$,,"4,380"
Georgia,Current Health Expenditure (CHE) per Capita in US$,,293
Germany,Current Health Expenditure (CHE) per Capita in US$,,"5,033"
Greece,Current Health Expenditure (CHE) per Capita in US$,,"1,517"
Hungary,Current Health Expenditure (CHE) per Capita in US$,,981
Iceland,Current Health Expenditure (CHE) per Capita in US$,,"6,086"
Ireland,Current Health Expenditure (CHE) per Capita in US$,,"4,977"
Israel,Current Health Expenditure (CHE) per Capita in US$,,"3,145"
Italy,Current Health Expenditure (CHE) per Capita in US$,,"2,840"
Kazakhstan,Current Health Expenditure (CHE) per Capita in US$,,280
Kyrgyzstan,Current Health Expenditure (CHE) per Capita in US$,,79
Latvia,Current Health Expenditure (CHE) per Capita in US$,,930
Lithuania,Current Health Expenditure (CHE) per Capita in US$,,"1,078"
Luxembourg,Current Health Expenditure (CHE) per Capita in US$,,"5,783"
Malta,Current Health Expenditure (CHE) per Capita in US$,,"2,586"
Monaco,Current Health Expenditure (CHE) per Capita in US$,,"2,932"
Netherlands,Current Health Expenditure (CHE) per Capita in US$,,"4,911"
Norway,Current Health Expenditure (CHE) per Capita in US$,,"7,936"
Poland,Current Health Expenditure (CHE) per Capita in US$,,907
Portugal,Current Health Expenditure (CHE) per Capita in US$,,"1,908"
Republic of Moldova,Current Health Expenditure (CHE) per Capita in US$,,191
Romania,Current Health Expenditure (CHE) per Capita in US$,,555
Russian Federation,Current Health Expenditure (CHE) per Capita in US$,,586
San Marino,Current Health Expenditure (CHE) per Capita in US$,,"3,362"
Serbia,Current Health Expenditure (CHE) per Capita in US$,,529
Slovakia,Current Health Expenditure (CHE) per Capita in US$,,"1,186"
Slovenia,Current Health Expenditure (CHE) per Capita in US$,,"1,920"
Spain,Current Health Expenditure (CHE) per Capita in US$,,"2,506"
Sweden,Current Health Expenditure (CHE) per Capita in US$,,"5,905"
