Countries,Indicators,,2017
,,,Value
Algeria,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,6
Algeria,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,100
Algeria,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),,66
Algeria,Domestic Private Health Expenditure (PVT-D) as % Current Health Expenditure (CHE),,34
Algeria,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,4
Algeria,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,88
Algeria,External Health Expenditure (EXT) per Capita in US$,,0
Algeria,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,84
Algeria,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,39
Angola,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3
Angola,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,97
Angola,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),,46
Angola,Domestic Private Health Expenditure (PVT-D) as % Current Health Expenditure (CHE),,51
Angola,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,1
Angola,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,58
Angola,External Health Expenditure (EXT) per Capita in US$,,4
Angola,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,39
Angola,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,24
Benin,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4
Benin,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,81
Benin,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),,30
Benin,Domestic Private Health Expenditure (PVT-D) as % Current Health Expenditure (CHE),,51
Benin,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,1
Benin,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,16
Benin,External Health Expenditure (EXT) per Capita in US$,,6
Benin,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,14
Benin,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,24
Botswana,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,6
Botswana,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,90
Botswana,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),,76
Botswana,Domestic Private Health Expenditure (PVT-D) as % Current Health Expenditure (CHE),,15
Botswana,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,5
Botswana,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,69
Botswana,External Health Expenditure (EXT) per Capita in US$,,45
Botswana,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,14
Botswana,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,32
Botswana,Current health expenditure by health care functions (preliminary data),Million NCU,"11,048"
Botswana,Preventive care,Million NCU,"1,650"
Burkina Faso,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,7
Burkina Faso,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,82
Burkina Faso,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),,43
Burkina Faso,Domestic Private Health Expenditure (PVT-D) as % Current Health Expenditure (CHE),,39
Burkina Faso,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,3
Burkina Faso,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,17
Burkina Faso,External Health Expenditure (EXT) per Capita in US$,,8
Burkina Faso,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,14
Burkina Faso,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,30
Burkina Faso,Current health expenditure by health care functions (preliminary data),Million NCU,"496,092"
Burkina Faso,Preventive care,Million NCU,"99,613"
Burundi,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,8
Burundi,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,69
Burundi,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),,25
Burundi,Domestic Private Health Expenditure (PVT-D) as % Current Health Expenditure (CHE),,44
Burundi,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,2
Burundi,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,10
Burundi,External Health Expenditure (EXT) per Capita in US$,,7
Burundi,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,6
Burundi,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,22
Cameroon,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5
Cameroon,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,92
Cameroon,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),,13
Cameroon,Domestic Private Health Expenditure (PVT-D) as % Current Health Expenditure (CHE),,79
Cameroon,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,1
Cameroon,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,54
Cameroon,External Health Expenditure (EXT) per Capita in US$,,5
Cameroon,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,48
Cameroon,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,20
Cabo Verde Republic of,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5
Cabo Verde Republic of,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,92
Cabo Verde Republic of,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),,60
Cabo Verde Republic of,Domestic Private Health Expenditure (PVT-D) as % Current Health Expenditure (CHE),,31
Cabo Verde Republic of,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,3
Cabo Verde Republic of,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,53
Cabo Verde Republic of,External Health Expenditure (EXT) per Capita in US$,,14
Cabo Verde Republic of,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,48
Cabo Verde Republic of,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,32
Central African Republic,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,6
Central African Republic,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,45
Central African Republic,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),,13
Central African Republic,Domestic Private Health Expenditure (PVT-D) as % Current Health Expenditure (CHE),,32
Central African Republic,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,1
Central African Republic,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,8
Central African Republic,External Health Expenditure (EXT) per Capita in US$,,13
Central African Republic,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,8
Central African Republic,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,15
Chad,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4
Chad,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,79
Chad,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),,16
Chad,Domestic Private Health Expenditure (PVT-D) as % Current Health Expenditure (CHE),,63
Chad,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,1
Chad,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,19
Chad,External Health Expenditure (EXT) per Capita in US$,,6
Chad,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,17
Chad,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,15
Comoros,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,7
Comoros,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,89
Comoros,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),,13
Comoros,Domestic Private Health Expenditure (PVT-D) as % Current Health Expenditure (CHE),,76
Comoros,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,1
Comoros,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,45
Comoros,External Health Expenditure (EXT) per Capita in US$,,7
Comoros,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,44
Comoros,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,28
Congo,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3
Congo,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,92
Congo,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),,41
Congo,Domestic Private Health Expenditure (PVT-D) as % Current Health Expenditure (CHE),,52
Congo,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,1
Congo,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,26
Congo,External Health Expenditure (EXT) per Capita in US$,,4
Congo,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,24
Congo,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,35
Cote d'Ivoire,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4
Cote d'Ivoire,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,87
