"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MEDICALGRAD","TOT","100000HAB","A","2015",15.75,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2016",15.95,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2017",15.45,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2015",14.52,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2016",13.94,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2017",14.41,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2015",12.05,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2016",14.24,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2017",14.8,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2018",28.79,"B"
"CAN","MEDICALGRAD","TOT","100000HAB","A","2015",7.85,
"CAN","MEDICALGRAD","TOT","100000HAB","A","2016",7.85,
"CAN","MEDICALGRAD","TOT","100000HAB","A","2017",7.66,
"CAN","MEDICALGRAD","TOT","100000HAB","A","2018",7.7,"P"
"CZE","MEDICALGRAD","TOT","100000HAB","A","2015",13.56,
"CZE","MEDICALGRAD","TOT","100000HAB","A","2016",15.1,
"CZE","MEDICALGRAD","TOT","100000HAB","A","2017",17.13,
"DNK","MEDICALGRAD","TOT","100000HAB","A","2015",17.05,
"DNK","MEDICALGRAD","TOT","100000HAB","A","2016",21.47,
"FIN","MEDICALGRAD","TOT","100000HAB","A","2015",11.41,
"FIN","MEDICALGRAD","TOT","100000HAB","A","2016",12.03,
"FRA","MEDICALGRAD","TOT","100000HAB","A","2015",9.05,
"FRA","MEDICALGRAD","TOT","100000HAB","A","2016",9.46,
"DEU","MEDICALGRAD","TOT","100000HAB","A","2015",11.28,
"DEU","MEDICALGRAD","TOT","100000HAB","A","2016",11.71,
"DEU","MEDICALGRAD","TOT","100000HAB","A","2017",12.01,
"GRC","MEDICALGRAD","TOT","100000HAB","A","2015",10.74,
"GRC","MEDICALGRAD","TOT","100000HAB","A","2016",10.22,
"HUN","MEDICALGRAD","TOT","100000HAB","A","2015",13.4,
"HUN","MEDICALGRAD","TOT","100000HAB","A","2016",14.14,
"HUN","MEDICALGRAD","TOT","100000HAB","A","2017",14.41,
"ISL","MEDICALGRAD","TOT","100000HAB","A","2015",12.7,
"ISL","MEDICALGRAD","TOT","100000HAB","A","2016",15.8,
"ISL","MEDICALGRAD","TOT","100000HAB","A","2017",14.56,"P"
"IRL","MEDICALGRAD","TOT","100000HAB","A","2015",23.54,
"IRL","MEDICALGRAD","TOT","100000HAB","A","2016",24.44,
"IRL","MEDICALGRAD","TOT","100000HAB","A","2017",24.88,
"ITA","MEDICALGRAD","TOT","100000HAB","A","2015",12.35,
"ITA","MEDICALGRAD","TOT","100000HAB","A","2016",13.25,
"JPN","MEDICALGRAD","TOT","100000HAB","A","2015",6.39,
"JPN","MEDICALGRAD","TOT","100000HAB","A","2016",6.72,
"JPN","MEDICALGRAD","TOT","100000HAB","A","2017",6.84,
"JPN","MEDICALGRAD","TOT","100000HAB","A","2018",6.94,
"KOR","MEDICALGRAD","TOT","100000HAB","A","2015",7.57,
"KOR","MEDICALGRAD","TOT","100000HAB","A","2016",7.58,
"KOR","MEDICALGRAD","TOT","100000HAB","A","2017",7.58,
"MEX","MEDICALGRAD","TOT","100000HAB","A","2015",11.07,
"MEX","MEDICALGRAD","TOT","100000HAB","A","2016",12.62,
"MEX","MEDICALGRAD","TOT","100000HAB","A","2017",13.54,"P"
"NLD","MEDICALGRAD","TOT","100000HAB","A","2015",14.61,
"NLD","MEDICALGRAD","TOT","100000HAB","A","2016",15.35,"B"
"NLD","MEDICALGRAD","TOT","100000HAB","A","2017",15.95,
"NZL","MEDICALGRAD","TOT","100000HAB","A","2015",8.68,
"NZL","MEDICALGRAD","TOT","100000HAB","A","2016",9.46,
"NZL","MEDICALGRAD","TOT","100000HAB","A","2017",9.12,
"NZL","MEDICALGRAD","TOT","100000HAB","A","2018",9.74,
"NOR","MEDICALGRAD","TOT","100000HAB","A","2015",11.18,
"NOR","MEDICALGRAD","TOT","100000HAB","A","2016",11.08,
"NOR","MEDICALGRAD","TOT","100000HAB","A","2017",11.1,
"POL","MEDICALGRAD","TOT","100000HAB","A","2015",10.24,
"POL","MEDICALGRAD","TOT","100000HAB","A","2016",10.49,
"POL","MEDICALGRAD","TOT","100000HAB","A","2017",10.95,
"PRT","MEDICALGRAD","TOT","100000HAB","A","2015",15.85,
"PRT","MEDICALGRAD","TOT","100000HAB","A","2016",16.44,
