"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NURSEGRAD","TOT","100000HAB","A","2015",76.8,
"AUS","NURSEGRAD","TOT","100000HAB","A","2016",81.99,
"AUS","NURSEGRAD","TOT","100000HAB","A","2017",84.54,
"AUT","NURSEGRAD","TOT","100000HAB","A","2015",31.75,
"AUT","NURSEGRAD","TOT","100000HAB","A","2016",34.45,
"BEL","NURSEGRAD","TOT","100000HAB","A","2015",49.68,
"BEL","NURSEGRAD","TOT","100000HAB","A","2016",55.03,
"BEL","NURSEGRAD","TOT","100000HAB","A","2017",56.9,
"BEL","NURSEGRAD","TOT","100000HAB","A","2018",63.19,
"CAN","NURSEGRAD","TOT","100000HAB","A","2015",58.51,
"CAN","NURSEGRAD","TOT","100000HAB","A","2016",55.89,
"CAN","NURSEGRAD","TOT","100000HAB","A","2017",52.47,
"CZE","NURSEGRAD","TOT","100000HAB","A","2015",15.79,
"CZE","NURSEGRAD","TOT","100000HAB","A","2016",15.84,
"CZE","NURSEGRAD","TOT","100000HAB","A","2017",14.1,
"DNK","NURSEGRAD","TOT","100000HAB","A","2015",43.51,
"DNK","NURSEGRAD","TOT","100000HAB","A","2016",43.98,
"FIN","NURSEGRAD","TOT","100000HAB","A","2015",67.65,
"FIN","NURSEGRAD","TOT","100000HAB","A","2016",69.46,
"FRA","NURSEGRAD","TOT","100000HAB","A","2015",41.14,
"FRA","NURSEGRAD","TOT","100000HAB","A","2016",40.92,
"FRA","NURSEGRAD","TOT","100000HAB","A","2017",40.84,
"DEU","NURSEGRAD","TOT","100000HAB","A","2015",54.47,
"DEU","NURSEGRAD","TOT","100000HAB","A","2016",56.24,
"DEU","NURSEGRAD","TOT","100000HAB","A","2017",54.49,
"HUN","NURSEGRAD","TOT","100000HAB","A","2015",43.87,
"HUN","NURSEGRAD","TOT","100000HAB","A","2016",41.9,
"HUN","NURSEGRAD","TOT","100000HAB","A","2017",61.86,
"ISL","NURSEGRAD","TOT","100000HAB","A","2015",72.25,
"ISL","NURSEGRAD","TOT","100000HAB","A","2016",65.59,
"ISL","NURSEGRAD","TOT","100000HAB","A","2017",73.68,"P"
"IRL","NURSEGRAD","TOT","100000HAB","A","2015",28.75,
"IRL","NURSEGRAD","TOT","100000HAB","A","2016",29.31,
"IRL","NURSEGRAD","TOT","100000HAB","A","2017",28.93,
"ITA","NURSEGRAD","TOT","100000HAB","A","2015",20.69,
"ITA","NURSEGRAD","TOT","100000HAB","A","2016",19.99,
"JPN","NURSEGRAD","TOT","100000HAB","A","2015",50.92,
"JPN","NURSEGRAD","TOT","100000HAB","A","2016",51.52,
"JPN","NURSEGRAD","TOT","100000HAB","A","2017",51.45,
"JPN","NURSEGRAD","TOT","100000HAB","A","2018",52.53,
"KOR","NURSEGRAD","TOT","100000HAB","A","2015",103,
"KOR","NURSEGRAD","TOT","100000HAB","A","2016",103.15,
"KOR","NURSEGRAD","TOT","100000HAB","A","2017",99.85,
"LUX","NURSEGRAD","TOT","100000HAB","A","2015",12.82,
"LUX","NURSEGRAD","TOT","100000HAB","A","2016",14.57,
"LUX","NURSEGRAD","TOT","100000HAB","A","2017",18.11,"P"
"MEX","NURSEGRAD","TOT","100000HAB","A","2015",12.12,"D"
"MEX","NURSEGRAD","TOT","100000HAB","A","2016",15.75,"D"
"MEX","NURSEGRAD","TOT","100000HAB","A","2017",14.6,"P"
"NLD","NURSEGRAD","TOT","100000HAB","A","2015",42.76,
"NLD","NURSEGRAD","TOT","100000HAB","A","2016",43.43,
"NLD","NURSEGRAD","TOT","100000HAB","A","2017",52.9,
"NZL","NURSEGRAD","TOT","100000HAB","A","2015",45.96,
"NZL","NURSEGRAD","TOT","100000HAB","A","2016",46.15,
"NZL","NURSEGRAD","TOT","100000HAB","A","2017",45.39,
"NZL","NURSEGRAD","TOT","100000HAB","A","2018",42.84,
"NOR","NURSEGRAD","TOT","100000HAB","A","2015",73.45,
"NOR","NURSEGRAD","TOT","100000HAB","A","2016",76.09,
"NOR","NURSEGRAD","TOT","100000HAB","A","2017",79.8,
"POL","NURSEGRAD","TOT","100000HAB","A","2015",32.08,
"POL","NURSEGRAD","TOT","100000HAB","A","2016",17.94,
"POL","NURSEGRAD","TOT","100000HAB","A","2017",21.07,
"PRT","NURSEGRAD","TOT","100000HAB","A","2015",26.22,
"PRT","NURSEGRAD","TOT","100000HAB","A","2016",24.48,
"PRT","NURSEGRAD","TOT","100000HAB","A","2017",24.48,
"SVK","NURSEGRAD","TOT","100000HAB","A","2015",34.16,
"SVK","NURSEGRAD","TOT","100000HAB","A","2016",29.87,
"SVK","NURSEGRAD","TOT","100000HAB","A","2017",30.96,
"ESP","NURSEGRAD","TOT","100000HAB","A","2015",23.18,
"ESP","NURSEGRAD","TOT","100000HAB","A","2016",22.76,
"ESP","NURSEGRAD","TOT","100000HAB","A","2017",21.71,
"CHE","NURSEGRAD","TOT","100000HAB","A","2015",97.94,
"CHE","NURSEGRAD","TOT","100000HAB","A","2016",98.91,
"CHE","NURSEGRAD","TOT","100000HAB","A","2017",100.88,
"TUR","NURSEGRAD","TOT","100000HAB","A","2015",38.62,
"TUR","NURSEGRAD","TOT","100000HAB","A","2016",71.95,
"TUR","NURSEGRAD","TOT","100000HAB","A","2017",16.92,"B"
"GBR","NURSEGRAD","TOT","100000HAB","A","2015",27,"E"
"GBR","NURSEGRAD","TOT","100000HAB","A","2016",27.12,"E"
"GBR","NURSEGRAD","TOT","100000HAB","A","2017",29.44,"E"
"GBR","NURSEGRAD","TOT","100000HAB","A","2018",30.97,"P"
"USA","NURSEGRAD","TOT","100000HAB","A","2015",63.03,
"USA","NURSEGRAD","TOT","100000HAB","A","2016",61.75,
"USA","NURSEGRAD","TOT","100000HAB","A","2017",61.68,
"CHL","NURSEGRAD","TOT","100000HAB","A","2015",21.52,
"CHL","NURSEGRAD","TOT","100000HAB","A","2016",24.94,
"CHL","NURSEGRAD","TOT","100000HAB","A","2017",28.92,
"CHL","NURSEGRAD","TOT","100000HAB","A","2018",30.02,
"EST","NURSEGRAD","TOT","100000HAB","A","2015",32.61,
"EST","NURSEGRAD","TOT","100000HAB","A","2016",32.38,
"EST","NURSEGRAD","TOT","100000HAB","A","2017",35.45,
"EST","NURSEGRAD","TOT","100000HAB","A","2018",29.56,
"ISR","NURSEGRAD","TOT","100000HAB","A","2015",19,
"ISR","NURSEGRAD","TOT","100000HAB","A","2016",20.97,
"ISR","NURSEGRAD","TOT","100000HAB","A","2017",24.19,
"ISR","NURSEGRAD","TOT","100000HAB","A","2018",23.95,
"SVN","NURSEGRAD","TOT","100000HAB","A","2015",77.49,
"SVN","NURSEGRAD","TOT","100000HAB","A","2016",90.26,
"SVN","NURSEGRAD","TOT","100000HAB","A","2017",75.4,
"LVA","NURSEGRAD","TOT","100000HAB","A","2015",27.56,
"LVA","NURSEGRAD","TOT","100000HAB","A","2016",20,
"LVA","NURSEGRAD","TOT","100000HAB","A","2017",27.49,
"LVA","NURSEGRAD","TOT","100000HAB","A","2018",26.62,
"LTU","NURSEGRAD","TOT","100000HAB","A","2015",18.42,
"LTU","NURSEGRAD","TOT","100000HAB","A","2016",18.93,
"LTU","NURSEGRAD","TOT","100000HAB","A","2017",20.22,
"GRC","NURSEGRAD","TOT","100000HAB","A","2015",18.1,
"GRC","NURSEGRAD","TOT","100000HAB","A","2016",15.53,
